n_rooms,n_toilets,area,x,y,distance_UBND,district,polistic,furniture,house_direct,balcony_direct,n_hospitals,n_schools,price
3,2,90,21.01743507,105.7803955,3.52,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,0,4,38.88888889
3,2,80,21.0307312,105.7613297,4.51,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,1,4,40
3,2,86,20.98424339,105.8084488,5.88,Thanh Tri,so do,day du,Tay - Nam,Dong - Bac,3,5,37.20930233
2,2,60,20.97776985,105.836113,7.23,Hoang Mai,hdmb,day du,Tay - Bac,Dong - Nam,1,6,41.66666667
2,2,73,21.06269073,105.9083328,10.55,Long Bien,so do,cao cap,Dong - Bac,Tay - Nam,2,6,24.65753425
2,1,62,20.95999718,105.7985535,8.32,Ha Dong,so do,day du,Dong - Bac,Tay - Nam,1,8,23.0483871
3,2,139,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,day du,Dong - Nam,Dong - Nam,0,6,28.77697842
2,1,72,21.0201683,105.7807541,3.3,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,0,4,52.08333333
3,2,148.8,21.03505135,105.7949753,1.25,Cau Giay,chua so,day du,Tay - Bac,Dong - Nam,1,4,43.6827957
4,3,202,21.005226,105.80506,3.77,Thanh Xuan,so do,day du,Dong - Bac,Dong - Nam,4,20,71.78217822
2,2,74,21.02097893,105.7910614,2.58,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,2,7,40.54054054
3,2,86,20.98373795,105.8515625,7.55,Hoang Mai,hdmb,day du,Tay - Nam,Dong - Bac,1,6,35
3,2,100,21.0416549,105.7932017,1.16,Cau Giay,so do,day du,Dong,Tay,1,3,29
2,2,66.8,21.12501717,105.8368835,8.82,Dong Anh,so do,day du,Dong - Nam,Dong - Nam,0,2,34.43113772
2,1,40,20.99259234,105.841325,6.22,Hai Ba Trung,so do,day du,Tay,Bac,3,6,15
2,1,48,21.0051773,105.8334217,4.74,Dong Da,so do,cao cap,Dong - Nam,Dong - Bac,2,10,18.75
2,2,63,20.96246719,105.792366,8.14,Ha Dong,so do,day du,Tay - Bac,Tay - Nam,2,5,25.23809524
3,2,100,21.04044151,105.7807159,2.41,Cau Giay,chua so,cao cap,Tay,Dong,1,5,55
3,2,116,20.95990753,105.7681961,9.07,Ha Dong,so do,day du,Dong - Nam,Tay - Bac,2,1,28.27586207
2,2,63,20.96246719,105.792366,8.14,Ha Dong,so do,day du,Tay - Bac,Dong - Bac,2,5,26.66666667
1,1,45,21.05058098,105.792244,1.46,Bac Tu Liem,so do,day du,Nam,Bac,1,3,49.33333333
3,2,92,20.97859383,105.8353424,7.13,Hoang Mai,so do,cao cap,Dong - Nam,Dong - Bac,1,6,38.42391304
3,2,80.7,21.00522614,105.7389145,7.58,Nam Tu Liem,so do,co ban,Dong - Nam,Tay - Bac,0,0,52.04460967
2,2,79,20.95850182,105.8263474,8.72,Hoang Mai,so do,day du,Tay - Nam,Dong - Bac,1,4,27.84810127
2,1,62,20.95999718,105.7985535,8.32,Ha Dong,so do,day du,Dong - Bac,Tay - Nam,1,8,24.03225806
3,2,142,21.07213593,105.810997,2.99,Tay Ho,so do,day du,Dong - Nam,Tay - Nam,0,2,43.66197183
